Date,Day of Week,device_count,24-hour average,Average
2020/3/2,Monday,101.35914004412882,43.78286600967868,0.4319577493516312
2020/3/3,Tuesday,104.6220880109017,41.79579381927513,0.3994930192458019
2020/3/4,Wednesday,99.53821653097937,40.74783951189659,0.40936879253019975
2020/3/5,Thursday,103.92631754611237,41.23199967860019,0.3967426216204134
2020/3/6,Friday,102.18087355682293,39.80823287120757,0.3895859517101325
2020/3/9,Monday,98.23777349075766,40.12058229532828,0.4084028054555092
2020/3/10,Tuesday,89.25128100401008,38.66516713389277,0.43321694320729737
2020/3/11,Wednesday,84.60247890515797,37.421199097229,0.4423179980243763
2020/3/12,Thursday,90.04867591307939,38.163738300844045,0.42381232054630175
2020/3/13,Friday,93.29442924068834,39.59867862609583,0.4244484793827939
2020/3/16,Monday,86.7649599442703,41.18487654320987,0.4746717634591566
2020/3/17,Tuesday,86.09055492870111,42.48080935421609,0.4934433212725606
2020/3/18,Wednesday,85.92593659139256,42.700801858165114,0.4969489254591678
2020/3/19,Thursday,87.4806884093305,42.54046680319685,0.4862840882566669
2020/3/20,Friday,85.47432478886587,38.2206489103404,0.44715941313079705
2020/3/23,Monday,86.24876853008223,43.385933696390616,0.5030325004728419
2020/3/24,Tuesday,85.33832155944769,43.954695698080734,0.5150639817477705
2020/3/25,Wednesday,89.1550568888394,45.36309150936391,0.5088112003105295
2020/3/26,Thursday,81.4431212873358,42.510961171381375,0.5219711683372298
2020/3/27,Friday,79.25961180759644,41.80957662165346,0.5275016577566219
2020/3/30,Monday,85.39333847282725,43.73403002888643,0.5121480294719113
2020/3/31,Tuesday,83.77436183308944,43.652430724920436,0.5210714802207955
2020/4/1,Wednesday,94.38602358004879,51.23202063795379,0.5427924463255295
2020/4/2,Thursday,93.97977422825764,50.85028515199864,0.5410769026587965
2020/4/3,Friday,93.33772355083393,50.28897883757433,0.5387851441457725
2020/4/6,Monday,88.03027883267254,48.6146845993618,0.5522495809852918
2020/4/7,Tuesday,88.01573344599144,48.56725150610567,0.5518019290938215
2020/4/8,Wednesday,89.24716946973108,48.809435913266704,0.5469017807878023
2020/4/9,Thursday,88.97080451232533,48.53714525014313,0.5455401411304444
2020/4/10,Friday,87.09813264230421,47.62953507236147,0.5468490956972303
2020/4/13,Monday,84.00216559858353,46.74007705069639,0.556415143795823
2020/4/14,Tuesday,78.57489940690778,45.04637923014304,0.5732922290726199
2020/4/15,Wednesday,78.04989488958756,44.81583256593432,0.574194656243068
2020/4/16,Thursday,77.57625123856221,44.05557403384397,0.5679002701273155
2020/4/17,Friday,78.19777694029192,44.138085910541,0.5644416969070967
2020/4/20,Monday,82.29548845272566,44.38397301530497,0.5393244982171918
2020/4/21,Tuesday,85.63710336248351,45.90562220334576,0.5360482828224244
2020/4/22,Wednesday,85.47489379483251,45.81932934048333,0.5360559961673026
2020/4/23,Thursday,85.10547651330819,45.04270138747003,0.5292573784065069
2020/4/24,Friday,83.38188025454039,43.90475347206096,0.5265502929177496
2020/4/27,Monday,82.41078024597286,43.892580275708895,0.5326072650289436
2020/4/28,Tuesday,82.82224845251594,43.53457558042269,0.5256386586193944
2020/4/29,Wednesday,82.38501212746381,42.36017367209692,0.5141733014077662
2020/4/30,Thursday,81.40673263277267,40.930412574769576,0.5027890353910585
2020/9/1,Tuesday,92.02379270276552,40.899563289178076,0.44444552966081946
2020/9/2,Wednesday,89.06169216243494,41.19785324700895,0.462576583115784
2020/9/3,Thursday,92.95213302059868,41.52787034671745,0.44676619026606573
2020/9/4,Friday,93.46704019103636,40.64357962402881,0.4348439785935001
2020/9/8,Tuesday,92.72432630801462,43.05683102691671,0.4643531286912688
2020/9/9,Wednesday,95.56204616935577,43.28969977684967,0.4530009717469982
2020/9/10,Thursday,95.46625715599016,42.919341215562646,0.4495760333982007
2020/9/11,Friday,95.24772065414787,41.60787336141779,0.4368385203935674
2020/9/14,Monday,92.08623212983143,41.914633598627226,0.4551672126136317
2020/9/15,Tuesday,88.27789787863148,40.550282546943954,0.4593480760347777
2020/9/16,Wednesday,92.36020302022771,42.011263164738004,0.4548632613500986
2020/9/17,Thursday,92.44072260725763,41.710049153954294,0.451208601334317
2020/9/18,Friday,90.84083297333204,39.292468346982425,0.4325419204215954
2020/9/21,Monday,78.84800696144218,35.36185597353162,0.4484812912370008
2020/9/22,Tuesday,82.31184801060391,38.11525881915215,0.4630592039950545
2020/9/23,Wednesday,84.70015757694078,40.19632370827968,0.4745720062181199
2020/9/24,Thursday,85.40930714411813,39.88561768886991,0.4669938092527508
2020/9/25,Friday,85.37873423837799,38.89080963088922,0.4555093253351101
2020/9/28,Monday,85.18753805749878,39.97490141848915,0.4692576206569958
2020/9/29,Tuesday,87.32304594681311,40.022776749607466,0.4583300584130404
2020/9/30,Wednesday,86.85911582941561,41.01145300993418,0.4721606088010084
2020/10/1,Thursday,84.06948643298009,39.25575792865185,0.4669441862232191
2020/10/2,Friday,89.59283233123614,39.89783316825467,0.4453239408789677
2020/10/5,Monday,92.04312920176365,43.048208486459124,0.4676960557489855
2020/10/6,Tuesday,92.930694954693,42.9909676325653,0.4626132157251694
2020/10/7,Wednesday,92.87903012286041,43.255345820656345,0.4657170274435269
2020/10/8,Thursday,93.53457425816127,43.03741365914962,0.4601230507594301
2020/10/9,Friday,93.07648438407058,41.905967723209095,0.4502315273349648
2020/10/13,Tuesday,92.49912494487384,43.37417581567362,0.4689144447747271
2020/10/14,Wednesday,90.75632398493478,42.60506499296432,0.4694445865837031
2020/10/15,Thursday,91.16356003826401,41.914819639092435,0.4597760291666929
2020/10/16,Friday,90.62216215211978,40.94257712350909,0.4517943089327557
2020/10/19,Monday,90.44315040810923,42.59030723168619,0.4709069403211268
2020/10/20,Tuesday,89.84110070094435,41.91183267450449,0.4665106766002026
2020/10/21,Wednesday,90.32769592,41.73944940420893,0.4620891629906352
2020/10/22,Thursday,91.24892705856124,41.68292219394075,0.456804518558226
2020/10/23,Friday,90.25816736771164,40.775334642467044,0.4517633786685297
2020/10/26,Monday,88.24794148380356,42.01342234606603,0.4760838795744249
2020/10/27,Tuesday,87.08950805196012,41.095611507447785,0.4718778694091251
2020/10/28,Wednesday,85.77664507615535,41.137990510397216,0.4795943053481929
2020/10/29,Thursday,89.32051806154304,41.15538729962589,0.4607607321675998
2020/10/30,Friday,88.51774823354407,39.76841046082806,0.4492704712268957
